video_name,frame_number,face_id,confidence,x1,y1,x2,y2
segment_001,1,1,344.186279296875,548,0,603,27
segment_001,1,2,340.787109375,548,0,603,27
segment_001,1,3,339.40728759765625,548,0,603,27
segment_001,1,4,334.6914978027344,548,0,603,27
segment_001,1,5,331.786865234375,548,0,603,27
segment_001,1,6,54.51614761352539,548,0,603,27
segment_001,1,7,53.17517852783203,548,0,603,27
segment_001,1,8,50.11006164550781,548,0,603,27
segment_001,1,9,42.57444763183594,548,0,603,27
segment_001,1,10,41.062744140625,548,0,603,27
segment_001,1,11,0.5715174078941345,548,0,603,27
segment_001,7,1,127.76007080078125,233,154,289,225
segment_001,7,2,127.26856231689453,233,154,289,225
segment_001,7,3,126.00161743164062,233,154,289,225
segment_001,7,4,125.10974884033203,233,154,289,225
segment_001,7,5,124.89350891113281,233,154,289,225
segment_001,7,6,124.53478240966797,233,154,289,225
segment_001,7,7,124.21488952636719,233,154,289,225
segment_001,7,8,123.69851684570312,233,154,289,225
segment_001,7,9,120.36807250976562,233,154,289,225
segment_001,7,10,120.18468475341797,233,154,289,225
segment_001,7,11,101.69049072265625,367,108,408,157
segment_001,7,12,101.3931655883789,367,108,408,157
segment_001,7,13,101.01600646972656,367,108,408,157
segment_001,7,14,100.78414916992188,367,108,408,157
segment_001,7,15,100.76253509521484,367,108,408,157
segment_001,7,16,68.58776092529297,192,0,252,0
segment_001,7,17,67.07225799560547,192,0,252,0
segment_001,7,18,66.44532775878906,192,0,252,0
segment_001,7,19,65.53519439697266,192,0,252,0
segment_001,7,20,64.99629974365234,192,0,252,0
segment_001,7,21,57.30000686645508,367,108,408,157
segment_001,7,22,56.24463653564453,367,108,408,157
segment_001,7,23,55.08909606933594,367,108,408,157
segment_001,7,24,54.1244010925293,367,108,408,157
segment_001,7,25,53.28567886352539,367,108,408,157
segment_001,7,26,4.705766677856445,192,0,252,0
segment_001,7,27,4.389930248260498,192,0,252,0
segment_001,7,28,2.1587419509887695,192,0,252,0
segment_001,7,29,0.9297998547554016,192,0,252,0
segment_001,7,30,0.8370926976203918,192,0,252,0
segment_001,7,31,0.45740047097206116,233,154,289,225
segment_001,7,32,0.28131118416786194,192,0,252,0
segment_001,7,33,0.25823166966438293,367,108,408,157
segment_001,8,1,114.64735412597656,226,151,277,221
segment_001,8,2,114.13919830322266,226,151,277,221
segment_001,8,3,111.19795989990234,226,151,277,221
segment_001,8,4,108.70738983154297,226,151,277,221
segment_001,8,5,108.01358032226562,226,151,277,221
segment_001,8,6,107.94747924804688,226,151,277,221
segment_001,8,7,106.55655670166016,226,151,277,221
segment_001,8,8,106.5541000366211,226,151,277,221
segment_001,8,9,106.01667785644531,226,151,277,221
segment_001,8,10,105.50658416748047,226,151,277,221
segment_001,8,11,0.41495946049690247,226,151,277,221
segment_001,9,1,208.6741943359375,232,158,278,222
segment_001,9,2,208.1834716796875,232,158,278,222
segment_001,9,3,201.36859130859375,232,158,278,222
segment_001,9,4,199.068603515625,232,158,278,222
segment_001,9,5,196.6399383544922,232,158,278,222
segment_001,9,6,196.2991180419922,232,158,278,222
segment_001,9,7,195.84814453125,232,158,278,222
segment_001,9,8,194.75711059570312,232,158,278,222
segment_001,9,9,194.30975341796875,232,158,278,222
segment_001,9,10,193.3093719482422,232,158,278,222
segment_001,9,11,0.7520487308502197,232,158,278,222
segment_001,10,1,208.86390686035156,236,163,282,225
segment_001,10,2,208.86190795898438,236,163,282,225
segment_001,10,3,202.80580139160156,236,163,282,225
segment_001,10,4,198.55096435546875,236,163,282,225
segment_001,10,5,198.518798828125,236,163,282,225
segment_001,10,6,196.72975158691406,236,163,282,225
segment_001,10,7,195.48643493652344,236,163,282,225
segment_001,10,8,195.3994598388672,236,163,282,225
segment_001,10,9,193.9451904296875,236,163,282,225
segment_001,10,10,193.37423706054688,236,163,282,225
segment_001,10,11,0.7379022836685181,236,163,282,225
segment_001,12,1,189.2566375732422,240,151,287,212
segment_001,12,2,188.45635986328125,240,151,287,212
segment_001,12,3,187.9477081298828,240,151,287,212
segment_001,12,4,186.56887817382812,240,151,287,212
segment_001,12,5,186.08502197265625,240,151,287,212
segment_001,12,6,185.57998657226562,240,151,287,212
segment_001,12,7,184.001220703125,240,151,287,212
segment_001,12,8,179.13229370117188,240,151,287,212
segment_001,12,9,174.29098510742188,240,151,287,212
segment_001,12,10,173.77516174316406,240,151,287,212
segment_001,12,11,0.695054292678833,240,151,287,212
segment_001,13,1,98.03789520263672,243,143,288,206
segment_001,13,2,97.9376449584961,243,143,288,206
segment_001,13,3,97.71080017089844,243,143,288,206
segment_001,13,4,97.59363555908203,243,143,288,206
segment_001,13,5,96.7392578125,243,143,288,206
segment_001,13,6,94.75071716308594,243,143,288,206
segment_001,13,7,93.71588897705078,243,143,288,206
segment_001,13,8,90.52765655517578,243,143,288,206
segment_001,13,9,88.68153381347656,243,143,288,206
segment_001,13,10,87.9333724975586,243,143,288,206
segment_001,13,11,0.36001765727996826,243,143,288,206
segment_001,14,1,167.77780151367188,248,145,291,205
segment_001,14,2,167.45889282226562,248,145,291,205
segment_001,14,3,167.4373016357422,248,145,291,205
segment_001,14,4,166.56451416015625,248,145,291,205
segment_001,14,5,166.00253295898438,248,145,291,205
segment_001,14,6,159.7315673828125,248,145,291,205
segment_001,14,7,158.2103729248047,248,145,291,205
segment_001,14,8,153.965576171875,248,145,291,205
segment_001,14,9,150.22967529296875,248,145,291,205
segment_001,14,10,149.19728088378906,248,145,291,205
segment_001,14,11,0.6059513092041016,248,145,291,205
segment_001,19,1,114.6572265625,309,161,349,219
segment_001,19,2,114.00383758544922,309,161,349,219
segment_001,19,3,113.89815521240234,309,161,349,219
segment_001,19,4,113.36576080322266,309,161,349,219
segment_001,19,5,112.70447540283203,309,161,349,219
segment_001,19,6,94.50670623779297,309,161,349,219
segment_001,19,7,93.48383331298828,309,161,349,219
segment_001,19,8,90.1371841430664,309,161,349,219
segment_001,19,9,88.07160949707031,309,161,349,219
segment_001,19,10,87.34152221679688,309,161,349,219
segment_001,19,11,0.3387068510055542,309,161,349,219
segment_001,29,1,155.7937774658203,245,198,289,253
segment_001,29,2,153.6659698486328,245,198,289,253
segment_001,29,3,150.52444458007812,245,198,289,253
segment_001,29,4,145.36846923828125,245,198,289,253
segment_001,29,5,144.1925811767578,245,198,289,253
segment_001,29,6,138.91604614257812,245,198,289,253
segment_001,29,7,137.27224731445312,245,198,289,253
segment_001,29,8,136.28570556640625,245,198,289,253
segment_001,29,9,136.0078582763672,245,198,289,253
segment_001,29,10,133.67428588867188,245,198,289,253
segment_001,29,11,0.490715891122818,245,198,289,253
segment_001,30,1,121.89237976074219,247,195,289,251
segment_001,30,2,121.13793182373047,247,195,289,251
segment_001,30,3,119.0262680053711,247,195,289,251
segment_001,30,4,116.3168716430664,247,195,289,251
segment_001,30,5,115.88739013671875,247,195,289,251
segment_001,30,6,108.87676239013672,247,195,289,251
segment_001,30,7,108.869140625,247,195,289,251
segment_001,30,8,108.2065658569336,247,195,289,251
segment_001,30,9,107.72454833984375,247,195,289,251
segment_001,30,10,107.42424011230469,247,195,289,251
segment_001,30,11,0.3893040418624878,247,195,289,251
segment_001,41,1,164.02076721191406,463,313,518,374
segment_001,41,2,163.719970703125,463,313,518,374
segment_001,41,3,163.69842529296875,463,313,518,374
segment_001,41,4,163.5369110107422,463,313,518,374
segment_001,41,5,163.09310913085938,463,313,518,374
segment_001,41,6,143.4960174560547,463,313,518,374
segment_001,41,7,142.98623657226562,463,313,518,374
segment_001,41,8,141.09127807617188,463,313,518,374
segment_001,41,9,138.9217987060547,463,313,518,374
segment_001,41,10,138.6678009033203,463,313,518,374
segment_001,41,11,0.32717832922935486,463,313,518,374
segment_001,42,1,442.39111328125,488,0,619,73
segment_001,42,2,433.12115478515625,488,0,619,73
segment_001,42,3,429.9862365722656,488,0,619,73
segment_001,42,4,419.7877197265625,488,0,619,73
segment_001,42,5,409.6343078613281,488,0,619,73
segment_001,42,6,81.3443832397461,488,0,619,73
segment_001,42,7,75.59563446044922,488,0,619,73
segment_001,42,8,54.350929260253906,488,0,619,73
segment_001,42,9,46.060184478759766,488,0,619,73
segment_001,42,10,35.707271575927734,488,0,618,72
segment_001,42,11,0.8066151738166809,488,0,619,73
segment_001,43,1,158.81300354003906,461,321,519,385
segment_001,43,2,158.32789611816406,461,321,519,385
segment_001,43,3,158.31431579589844,461,321,519,385
segment_001,43,4,158.08291625976562,461,321,519,385
segment_001,43,5,157.17306518554688,461,321,519,385
segment_001,43,6,141.64263916015625,461,321,519,385
segment_001,43,7,141.31967163085938,461,321,519,385
segment_001,43,8,139.4488067626953,461,321,519,385
segment_001,43,9,136.70892333984375,461,321,519,385
segment_001,43,10,136.34422302246094,461,321,519,385
segment_001,43,11,0.3171995282173157,461,321,519,385
segment_001,49,1,376.56756591796875,575,308,640,398
segment_001,49,2,374.9449462890625,575,308,640,398
