video_name,frame_number,face_id,x1,y1,x2,y2,confidence,class_id,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y
segment_000,76,1,329,198,414,313,258.2833251953125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,95,1,336,468,424,480,281.7457275390625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,98,1,314,472,406,480,240.12701416015625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,99,1,310,469,407,480,249.70724487304688,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,100,1,326,478,418,480,213.9896240234375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,101,1,338,475,440,480,266.07830810546875,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,102,1,358,473,454,480,263.8502197265625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,103,1,367,454,463,480,308.11859130859375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,104,1,372,446,465,480,231.0844268798828,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,105,1,373,440,466,480,293.2342834472656,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,106,1,376,445,468,480,347.6216735839844,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,107,1,386,428,480,480,361.783447265625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,107,2,412,190,457,232,234.7520294189453,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,108,1,398,427,501,480,347.5385437011719,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,109,1,422,421,521,480,371.45269775390625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,110,1,422,419,516,480,373.4030456542969,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,111,1,405,418,508,480,357.0496520996094,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,112,1,399,420,497,480,326.633056640625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,113,1,380,441,477,480,312.0898132324219,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,177,1,425,177,471,221,330.12261962890625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,177,2,427,439,526,480,325.7469177246094,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,178,1,423,446,529,480,328.9117736816406,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,179,1,431,471,532,480,283.6397705078125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,180,1,435,478,540,480,368.1653137207031,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,182,1,451,473,556,480,273.42535400390625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,183,1,462,475,558,480,354.55364990234375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,184,1,462,446,560,480,283.0641784667969,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,185,1,462,480,558,480,321.17236328125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,235,1,408,474,487,480,241.192626953125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,237,1,409,468,490,480,279.65203857421875,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,258,1,416,0,504,105,271.37652587890625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,258,2,228,44,300,137,144.16372680664062,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,259,1,438,0,522,104,317.9591979980469,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,259,2,248,15,324,121,234.71849060058594,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,260,1,447,0,531,100,334.2642517089844,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,261,1,431,0,511,111,323.9822082519531,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,266,1,208,128,278,219,188.42034912109375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,267,1,192,142,261,231,179.4742889404297,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,268,1,166,141,254,244,170.5331573486328,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,269,1,167,150,247,251,169.25396728515625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,270,1,166,151,247,254,172.92396545410156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,271,1,168,151,250,251,187.72848510742188,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,272,1,178,150,259,252,191.71371459960938,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,273,1,194,153,271,251,196.22409057617188,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,274,1,210,156,282,249,200.65904235839844,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,278,1,429,86,502,193,330.3584289550781,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,279,1,442,73,518,187,373.8653259277344,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,279,2,293,142,354,226,209.02841186523438,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,280,1,452,69,527,174,371.491943359375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,281,1,465,57,541,164,365.1820373535156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,285,1,501,70,582,186,402.3782653808594,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,298,1,195,232,272,332,209.21241760253906,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,299,1,206,234,278,336,199.40895080566406,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,299,2,357,200,413,273,193.6023712158203,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,300,1,362,195,421,280,224.8048095703125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,300,2,210,235,282,334,137.77088928222656,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,301,1,363,195,422,282,309.3212585449219,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,301,2,212,233,284,336,185.30406188964844,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,302,1,363,196,423,273,230.12625122070312,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,304,1,369,209,427,281,239.3792724609375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,305,1,209,243,287,351,160.74732971191406,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,306,1,364,210,426,297,290.7275390625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,306,2,208,250,286,353,181.8722381591797,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,307,1,363,213,420,291,320.9555969238281,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,308,1,363,212,414,284,328.0737609863281,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,308,2,207,242,284,338,142.23397827148438,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,309,1,360,210,413,283,309.7518005371094,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,310,1,362,208,414,277,298.6636047363281,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,310,2,212,241,288,339,135.4439697265625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,311,1,368,205,427,287,308.06695556640625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,311,2,222,242,295,342,139.52755737304688,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,312,1,385,203,450,293,345.0893249511719,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,312,2,245,244,309,337,207.6239471435547,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,313,1,402,199,469,290,352.8002014160156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,313,2,260,247,321,328,228.3654327392578,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,314,1,421,194,492,296,358.3965759277344,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,314,2,274,246,336,325,242.85321044921875,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,315,1,439,192,512,301,280.15374755859375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,315,2,288,244,349,329,212.27828979492188,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,316,1,449,196,525,299,292.9201354980469,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,316,2,293,246,355,330,256.23193359375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,317,1,292,248,359,335,257.3499450683594,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,318,1,379,0,437,53,231.4329071044922,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,318,2,298,261,357,337,182.3931427001953,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,319,1,300,263,360,345,225.9755401611328,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,321,1,464,259,535,368,272.8968811035156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,324,1,196,163,267,236,126.14302062988281,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,346,1,208,378,286,480,192.0880889892578,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,347,1,229,386,309,480,220.74769592285156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,348,1,439,447,487,480,378.87591552734375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,348,2,226,373,304,480,219.6484832763672,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,349,1,218,365,299,480,166.814697265625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,350,1,425,450,477,480,238.235107421875,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,350,2,206,364,285,480,185.09805297851562,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,351,1,202,375,281,480,200.01052856445312,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,352,1,204,377,278,480,205.42929077148438,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,359,1,411,193,455,250,287.9212951660156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,360,1,411,178,455,235,340.5218811035156,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,361,1,412,166,457,223,371.2715148925781,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,362,1,423,173,472,233,234.16400146484375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,368,1,294,157,341,217,229.64840698242188,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,369,1,422,157,464,209,293.3531188964844,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,384,1,229,102,282,172,155.15089416503906,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,409,1,13,370,100,464,23.677095413208008,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,410,1,27,345,117,446,37.58637619018555,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,415,1,212,387,293,480,161.05673217773438,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,416,1,216,380,298,480,199.12176513671875,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,417,1,217,381,304,480,181.83103942871094,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,425,1,386,122,435,185,223.5985870361328,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,427,1,326,96,364,153,183.99679565429688,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,435,1,461,7,639,432,349.506103515625,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,450,1,2,21,71,100,5.891170978546143,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,455,1,406,91,448,146,260.0604553222656,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,459,1,408,154,446,202,228.5958709716797,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,459,2,290,148,337,210,189.1829376220703,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,461,1,288,162,335,221,229.16722106933594,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,462,1,295,154,340,220,201.05311584472656,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
segment_000,463,1,300,151,351,215,228.0306396484375,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
