frame_number,object_class,confidence_score,x1,y1,x2,y2
0,0,0.8331166505813599,0.30340576171875,75.7435302734375,299.8741149902344,479.31939697265625
0,73,0.4736784100532532,190.9029541015625,0.18085479736328125,563.4679565429688,115.50399017333984
1,0,0.7242808938026428,0.18951416015625,82.12861633300781,291.92401123046875,479.60406494140625
2,0,0.6260998249053955,0.372222900390625,76.965087890625,292.525146484375,478.37188720703125
3,0,0.4987250864505768,0.42218017578125,56.32402038574219,296.6805419921875,477.78411865234375
3,73,0.2526821494102478,530.452880859375,261.908935546875,640.0,357.00885009765625
4,0,0.5960854291915894,0.35540771484375,122.99220275878906,310.130126953125,478.95166015625
5,0,0.4581587016582489,0.27154541015625,2.51824951171875,316.1956787109375,478.4588623046875
5,0,0.34659281373023987,0.42218017578125,152.0105438232422,316.5308837890625,478.74798583984375
6,0,0.3636447787284851,0.167877197265625,151.8599395751953,318.87884521484375,478.44720458984375
6,0,0.3588809370994568,0.25054931640625,3.1007080078125,319.8614501953125,468.3052978515625
7,0,0.522991418838501,0.89776611328125,168.65261840820312,329.47509765625,477.9989929199219
7,0,0.40152350068092346,0.410797119140625,3.2451171875,327.718017578125,477.41802978515625
8,0,0.7584772109985352,0.1800537109375,152.3555145263672,338.26824951171875,477.99151611328125
8,0,0.34772810339927673,0.524505615234375,12.01043701171875,338.1567687988281,477.4014892578125
9,0,0.44814568758010864,0.0452880859375,174.68438720703125,344.2991943359375,478.24127197265625
9,0,0.4001041352748871,0.391204833984375,8.307464599609375,342.8426818847656,476.92779541015625
10,0,0.49056118726730347,0.46551513671875,174.1370849609375,353.4051818847656,478.40533447265625
10,0,0.4041207730770111,0.499267578125,4.284515380859375,352.76092529296875,478.7372741699219
10,0,0.28716421127319336,1.93670654296875,0.331634521484375,553.0191650390625,473.7947692871094
11,0,0.8758982419967651,0.05426025390625,184.69155883789062,365.1290283203125,478.7814025878906
12,0,0.49321576952934265,0.19140625,266.56219482421875,280.14154052734375,479.58831787109375
12,0,0.277669757604599,0.0,192.42572021484375,377.142822265625,479.5914306640625
13,0,0.6722406148910522,0.129669189453125,275.09710693359375,288.2307434082031,479.53173828125
13,0,0.2695225179195404,2.7183837890625,201.35833740234375,357.42205810546875,479.94744873046875
14,0,0.3091816008090973,17.0186767578125,203.76878356933594,400.9442443847656,479.5113525390625
15,0,0.38933098316192627,3.44921875,0.0,419.876708984375,480.0
18,0,0.28732725977897644,46.67462158203125,208.74191284179688,421.77978515625,478.0528259277344
19,0,0.2770320773124695,2.832061767578125,0.56707763671875,463.53582763671875,479.6986083984375
20,0,0.34751632809638977,38.3221435546875,221.38453674316406,425.02667236328125,479.76953125
21,0,0.3824777901172638,44.53375244140625,217.0670623779297,429.1134033203125,479.84771728515625
21,0,0.2820195257663727,4.38958740234375,0.411285400390625,544.6746215820312,479.5044250488281
22,0,0.4205930829048157,43.4619140625,220.727294921875,437.3555908203125,479.759765625
23,0,0.33191969990730286,40.862091064453125,207.67105102539062,422.38323974609375,477.5697326660156
24,0,0.301420122385025,32.6324462890625,203.9390869140625,413.20855712890625,478.4095458984375
26,0,0.3567367196083069,21.205657958984375,192.20269775390625,406.6590881347656,478.6661376953125
27,0,0.6883649230003357,19.066375732421875,193.1898193359375,403.8536682128906,478.6014404296875
28,0,0.5482174158096313,15.029693603515625,185.69937133789062,403.8172607421875,478.5621032714844
28,59,0.27354463934898376,0.746337890625,0.0,551.8966064453125,479.3930969238281
29,0,0.5841509699821472,13.2774658203125,185.85272216796875,402.74334716796875,478.19659423828125
30,0,0.4398258328437805,20.31121826171875,186.3180694580078,403.8480224609375,478.62542724609375
30,0,0.3207557499408722,4.536407470703125,0.0,460.1195373535156,478.7510070800781
31,0,0.2602235972881317,11.391357421875,181.78550720214844,403.2923583984375,477.912353515625
32,0,0.30360880494117737,7.176727294921875,177.153564453125,402.30963134765625,476.0892333984375
32,0,0.27092084288597107,5.89532470703125,1.042266845703125,427.7099609375,480.0
33,0,0.43180903792381287,20.454010009765625,175.32144165039062,407.8946228027344,477.2223815917969
35,0,0.5314282178878784,369.013427734375,289.453125,545.788330078125,479.7498779296875
35,0,0.412616491317749,23.686676025390625,162.9844207763672,406.4651184082031,477.98211669921875
35,67,0.2641831338405609,355.97723388671875,257.0399169921875,396.57720947265625,282.6771240234375
38,0,0.39603567123413086,379.75323486328125,230.20452880859375,552.5103149414062,479.6727294921875
42,0,0.27768075466156006,37.0771484375,165.0402069091797,414.07086181640625,478.54644775390625
44,0,0.3130994141101837,37.46728515625,161.7392578125,406.96551513671875,478.28997802734375
45,0,0.4198366701602936,29.38848876953125,161.4725799560547,403.82257080078125,478.08612060546875
46,0,0.3953017294406891,2.926483154296875,1.031463623046875,455.7458190917969,479.9820861816406
46,0,0.2957533597946167,27.498016357421875,230.42922973632812,388.3945617675781,479.6968078613281
48,0,0.6266202330589294,6.723541259765625,69.64692687988281,347.7420654296875,479.06646728515625
48,0,0.2916337847709656,323.7045593261719,47.265045166015625,488.0950622558594,477.2805480957031
49,0,0.46282655000686646,0.85791015625,34.04217529296875,345.11566162109375,480.0
49,0,0.27115923166275024,324.9231262207031,113.7564697265625,474.8494567871094,436.47393798828125
50,0,0.637606143951416,0.80938720703125,9.159423828125,346.3251953125,477.13531494140625
50,0,0.4686574339866638,326.572021484375,229.7276611328125,465.87738037109375,423.459716796875
50,0,0.32631242275238037,325.43408203125,95.76275634765625,470.0855712890625,424.71966552734375
51,0,0.6823974251747131,1.364013671875,0.0,352.20782470703125,479.4842529296875
51,0,0.6561540961265564,316.097900390625,98.373291015625,451.76763916015625,409.68426513671875
52,0,0.8317803740501404,0.533203125,2.833984375,333.5291748046875,477.7506408691406
52,0,0.6945295333862305,309.62255859375,93.21575927734375,438.69024658203125,396.51220703125
53,0,0.871910572052002,1.201507568359375,0.7415771484375,331.771484375,475.439453125
53,0,0.6759815812110901,305.34503173828125,77.117431640625,432.31915283203125,373.1802062988281
54,0,0.7263372540473938,1.29193115234375,1.373077392578125,323.12982177734375,410.9702453613281
54,0,0.2965814471244812,302.3756408691406,2.571746826171875,432.1891174316406,335.5252380371094
55,0,0.6488092541694641,0.514556884765625,2.22576904296875,324.0594177246094,359.14398193359375
55,67,0.5758859515190125,268.71221923828125,0.04750823974609375,306.93572998046875,35.01643371582031
