video_name,frame_number,object_class,class_name,confidence_score,x1,y1,x2,y2,is_face,detection_type
segment_000,1,0,person,0.7583494186401367,192.61993408203125,157.931640625,457.5950317382813,478.94232177734375,False,object
segment_000,1,0,person,0.4288922250270843,413.25140380859375,218.29641723632807,603.910888671875,479.6949768066406,False,object
segment_000,2,0,person,0.8268165588378906,189.0210418701172,158.455322265625,453.4305725097656,479.1254577636719,False,object
segment_000,2,0,person,0.514862060546875,411.5097351074219,219.6732635498047,603.6950073242188,480.0,False,object
segment_000,3,0,person,0.8164917230606079,185.65843200683597,160.3523406982422,449.0284118652344,479.6417236328125,False,object
segment_000,3,0,person,0.4966119527816772,410.8755493164063,219.7172088623047,604.5176391601562,479.7467956542969,False,object
segment_000,4,0,person,0.8706514239311218,183.28602600097656,162.66944885253906,448.6517639160156,480.0,False,object
segment_000,4,0,person,0.8164126873016357,410.66943359375,222.18869018554688,605.6423950195312,479.86822509765625,False,object
segment_000,5,0,person,0.8026094436645508,177.22674560546875,166.44509887695312,450.0845336914063,480.0,False,object
segment_000,5,0,person,0.512065589427948,412.0446166992188,222.62586975097656,610.1133422851562,480.0,False,object
segment_000,6,0,person,0.8299689292907715,170.0236358642578,170.59974670410156,449.9754638671875,480.0,False,object
segment_000,6,0,person,0.8111493587493896,412.4938354492188,225.29754638671875,612.5062255859375,480.0,False,object
segment_000,7,0,person,0.8297209143638611,170.7357635498047,173.81448364257812,448.8740539550781,479.62213134765625,False,object
segment_000,7,0,person,0.7272729277610779,411.7887878417969,223.8780517578125,613.2369995117188,479.9001770019531,False,object
segment_000,8,0,person,0.7769470810890198,166.84605407714844,178.33468627929688,449.79052734375,479.4639892578125,False,object
segment_000,8,0,person,0.373512864112854,411.2771301269531,226.2620391845703,615.7830200195312,478.7384338378906,False,object
segment_000,9,0,person,0.7049638032913208,171.135009765625,183.474853515625,451.3786926269531,479.3459777832031,False,object
