video_name,frame_number,face_id,confidence,x1,y1,x2,y2,detection_type
segment_000,19,1,117.9024887084961,204,0,417,3,face
segment_000,19,2,108.703857421875,204,0,417,3,face
segment_000,19,3,105.9966278076172,204,0,417,3,face
segment_000,19,4,98.3806610107422,204,0,417,3,face
segment_000,19,5,88.8258056640625,204,0,417,3,face
segment_000,19,6,13.499794006347656,204,0,417,3,face
segment_000,19,7,9.10252571105957,204,0,417,3,face
segment_000,19,8,6.362534523010254,204,0,417,3,face
segment_000,19,9,5.7589111328125,204,0,417,3,face
segment_000,19,10,0.3278769552707672,204,0,417,3,face
segment_000,20,1,145.73231506347656,192,0,466,12,face
segment_000,20,2,129.09532165527344,192,0,466,12,face
segment_000,20,3,128.5407257080078,192,0,466,12,face
segment_000,20,4,118.99635314941406,192,0,466,12,face
segment_000,20,5,104.35233306884766,192,0,466,12,face
segment_000,20,6,16.41267204284668,192,0,466,12,face
segment_000,20,7,11.063572883605955,192,0,466,12,face
segment_000,20,8,8.964617729187012,192,0,466,12,face
segment_000,20,9,6.667634963989258,192,0,466,12,face
segment_000,20,10,0.947476089000702,192,0,466,12,face
segment_000,20,11,0.3877152800559997,192,0,466,12,face
segment_000,21,1,91.18873596191406,190,0,428,13,face
segment_000,21,2,84.36109924316406,190,0,428,13,face
segment_000,21,3,82.56316375732422,190,0,428,13,face
segment_000,21,4,74.19579315185547,190,0,428,13,face
segment_000,21,5,67.75300598144531,190,0,428,13,face
segment_000,21,6,11.23591423034668,190,0,428,13,face
segment_000,21,7,9.01130199432373,190,0,428,13,face
segment_000,21,8,7.1750569343566895,190,0,428,13,face
segment_000,21,9,2.435778856277466,190,0,428,13,face
segment_000,21,10,0.2505523264408111,190,0,428,13,face
segment_000,24,1,138.2439422607422,188,0,440,19,face
segment_000,24,2,125.38507843017578,188,0,440,19,face
segment_000,24,3,125.27212524414062,188,0,440,19,face
segment_000,24,4,109.81129455566406,188,0,440,19,face
segment_000,24,5,99.57229614257812,188,0,440,19,face
segment_000,24,6,15.947660446166992,188,0,440,19,face
segment_000,24,7,8.76477336883545,188,0,440,19,face
segment_000,24,8,7.807273864746094,188,0,440,19,face
segment_000,24,9,4.30916690826416,188,0,465,19,face
segment_000,24,10,0.3702569603919983,188,0,440,19,face
segment_000,26,1,95.56298065185548,187,0,479,21,face
segment_000,26,2,87.70842742919922,187,0,479,21,face
segment_000,26,3,83.72667694091797,187,0,479,21,face
segment_000,26,4,74.53783416748047,187,0,479,21,face
segment_000,26,5,67.80451202392578,187,0,479,21,face
segment_000,26,6,10.43083667755127,187,0,479,21,face
segment_000,26,7,5.700254440307617,187,0,479,21,face
segment_000,26,8,5.579253196716309,187,0,479,21,face
segment_000,26,9,1.835060238838196,187,0,479,21,face
segment_000,31,1,49.74394226074219,121,0,163,55,face
segment_000,31,2,48.57442474365234,121,0,163,55,face
segment_000,31,3,47.9017333984375,121,0,163,55,face
segment_000,31,4,46.46693801879883,121,0,163,55,face
segment_000,31,5,46.08378219604492,121,0,163,55,face
segment_000,31,6,43.05717468261719,121,0,163,55,face
segment_000,31,7,42.924015045166016,121,0,163,55,face
segment_000,31,8,39.833038330078125,121,0,163,55,face
segment_000,31,9,35.9490966796875,121,0,163,55,face
segment_000,31,10,35.8762092590332,121,0,163,55,face
segment_000,31,11,0.3566584587097168,121,0,163,55,face
segment_000,32,1,102.61506652832033,66,0,221,94,face
segment_000,32,2,101.35250854492188,66,0,221,94,face
segment_000,32,3,88.78423309326172,150,0,260,92,face
segment_000,32,4,88.77742767333984,66,0,221,94,face
segment_000,32,5,83.7440185546875,150,0,260,92,face
segment_000,32,6,75.51509094238281,66,0,221,94,face
segment_000,32,7,75.03984069824219,150,0,260,92,face
segment_000,32,8,73.03598022460938,150,0,260,92,face
segment_000,32,9,69.73847961425781,66,0,221,94,face
segment_000,32,10,69.64215850830078,150,0,260,92,face
segment_000,32,11,69.60578155517578,66,0,221,94,face
segment_000,32,12,65.21592712402344,66,0,221,94,face
segment_000,32,13,55.29293441772461,150,0,260,92,face
segment_000,32,14,53.21037673950195,150,0,260,92,face
segment_000,32,15,51.95823287963867,66,0,221,94,face
segment_000,32,16,38.88078689575195,150,0,260,92,face
segment_000,32,17,35.33103942871094,65,0,221,91,face
segment_000,32,18,33.1325569152832,66,0,221,94,face
segment_000,32,19,29.504711151123047,150,0,260,92,face
segment_000,32,20,28.022584915161133,150,0,260,92,face
segment_000,32,21,0.5324929356575012,66,0,221,94,face
segment_000,32,22,0.4096758663654327,150,0,260,92,face
segment_000,51,1,283.7840881347656,480,421,571,480,face
segment_000,51,2,283.3314208984375,480,421,571,480,face
segment_000,51,3,272.3880615234375,480,421,571,480,face
segment_000,51,4,268.3886108398437,480,421,571,480,face
segment_000,51,5,262.8923645019531,480,421,571,480,face
segment_000,51,6,260.2761535644531,480,421,571,480,face
segment_000,51,7,260.134765625,480,421,571,480,face
segment_000,51,8,258.9723815917969,480,421,571,480,face
segment_000,51,9,251.4219665527344,480,421,571,480,face
segment_000,51,10,251.2469482421875,480,421,571,480,face
segment_000,51,11,0.4824346601963043,480,421,571,480,face
segment_000,52,1,108.62208557128906,289,0,363,41,face
